"AB291075" "AB291076" "AB291077" "AM711901" "AY377151" "AY377152" "AY598542" "AY598553" "AY598564" "Ailuropoda melanoleuca" "Ailurus sp" "DQ533938" "DQ533939" "EF212882.1" "EF491163" "EF672696" "FJ236015" "FJ429093" "FJ719367" "GQ901984.1" "GU167278" "HM102305" "HM106317" "HM106318" "HM106319" "HM106320" "HM106321" "HM106322" "HM106323" "HM106324" "HM106325" "HM106326" "HM106328" "HM106329" "HM106330" "HQ705176" "HQ705180" "HQ919648" "Helarctos malayanus" "JF443239" "JF443242" "JF443243" "JF443247" "JF443248" "JF443274" "JF443294" "JF443295" "JF443296" "JF443299" "JF443309" "JF443518" "JF443523.1" "JF443546.1" "JF443548.1" "JF444305" "JF459161" "JQ600066" "Melursus sp" "NC_009677" "NC_009678" "NC_009685" "NC_009692" "NC_011125" "NC_011358" "NC_011579" "NC_012141" "Tremarctos ornatus"
"Ailurus sp" 0.216245008408338 0.237112499924707 0.205907119790144 0.217762275881806 0.222700587629762 0.180140294732553 0.230542644293536 0.236108736917886 0.235473087979793 0.207474194959937 0 0.205907119790144 0.210958374359634 0.207474194959937 0.217457791672886 0.234915924226 0.227359105320976 0.241121651466201 0.191688152129878 0.251494566251262 0.233790668313973 0.180140294732553 0.237677921107651 0.220620510772835 0.203601476989038 0.221770095158505 0.188206496318243 0.182428628246259 0.238918918397568 0.225517476366785 0.198224651258988 0.191688152129878 0.21807317011991 0.213476419959691 0.227991651641437 0.201398538020023 0.201398538020023 0.235473087979793 0.245625721060166 0.222700587629762 0.222700587629762 0.222700587629762 0.233589839902907 0.233589839902907 0.199017581139901 0.215007721670956 0.215007721670956 0.215007721670956 0.212615372609287 0.182428628246259 0.230473046312502 0.208820233315033 0.233589839902907 0.231083568991135 0.215311290581702 0.23391137151899 0.188206496318243 0.23391137151899 0.216245008408338 0.237112499924707 0.217762275881806 0.205907119790144 0.228365857637496 0.227359105320976 0.241121651466201 0.191688152129878 0.216582904614468
"DQ533938" 0.207407562901861 0.19330223158676 0 0.215789927896402 0.215789927896402 0.19957703633729 0.203829684303547 0.159614847680537 0.1865168236835 0.185208794087149 0.205907119790144 0 0.215311290581702 0.185208794087149 0.176544851120711 0.174297987015251 0.167321129628318 0.180347161456173 0.175453276007322 0.218390464427822 0.18597571068597 0.19957703633729 0.198224651258988 0.200331216336199 0.212579704200203 0.208029608487754 0.187036955798721 0.197196079457168 0.187081707089456 0.194190831590596 0.172659123760226 0.175453276007322 0.157392621800325 0.204673711293346 0.179539966296567 0.153191166779303 0.153191166779303 0.1865168236835 0.227688160158171 0.215789927896402 0.215789927896402 0.215789927896402 0.157392621800325 0.157392621800325 0.150993361042784 0.200588721856961 0.200588721856961 0.200588721856961 0.198224651258988 0.197196079457168 0.181854785245938 0.203509033658398 0.230891115530531 0.238544326171869 0.15907335074345 0.188045100415105 0.187036955798721 0.213171170071599 0.207407562901861 0.19330223158676 0.215789927896402 0 0.190387025071318 0.167321129628318 0.180347161456173 0.175453276007322 0.230542644293536
"DQ533939" 0.230891115530531 0.21807317011991 0.215311290581702 0.205907119790144 0.210738075246013 0.185458451246484 0.199017581139901 0.222788483429846 0.21961071313804 0.221770095158505 0.210958374359634 0.215311290581702 0 0.221770095158505 0.191941991366779 0.210445072122587 0.205625757703703 0.213171170071599 0.218390464427822 0.243401913283419 0.229069613847797 0.185458451246484 0.125053743985845 0.123142299383596 0.013516428824323 0.188282479331394 0.154172106148911 0.183143632297113 0.217762275881806 0.215927405259794 0.215927405259794 0.218390464427822 0.22086571700775 0.247770102581103 0.222073772306068 0.202264068075372 0.202264068075372 0.21961071313804 0.255628566860923 0.210738075246013 0.210738075246013 0.210738075246013 0.220349454203129 0.220349454203129 0.199865981943625 0.141823917316517 0.139645264632039 0.141823917316517 0.144012104616416 0.183143632297113 0.224549024885996 0.232966817068021 0.243401913283419 0.238312810825541 0.208909913534441 0.210958374359634 0.154172106148911 0.250780405889597 0.230891115530531 0.21807317011991 0.205907119790144 0.215311290581702 0.226899592578763 0.205625757703703 0.213171170071599 0.218390464427822 0.243068170726781
"EF212882.1" 0.201122394282069 0.205625757703703 0.185208794087149 0.225188154949819 0.230200728259508 0.210158391962309 0.201122394282069 0.22672063064986 0.2199147990741 0 0.207474194959937 0.185208794087149 0.221770095158505 0 0.21501279902579 0.206488601296547 0.199294232570498 0.198482779079964 0.203509033658398 0.21203250673139 0.191688152129878 0.210158391962309 0.235787552932507 0.221182255343045 0.214155715382069 0.21931308775729 0.211212582376702 0.212579704200203 0.200588721856961 0.196383022304797 0.172931902864935 0.203509033658398 0.208909913534441 0.209878045743989 0.217457791672886 0.203790887081691 0.203790887081691 0.2199147990741 0.226482962147925 0.230200728259508 0.230200728259508 0.230200728259508 0.224239235978796 0.224239235978796 0.201398538020023 0.204069603752963 0.204069603752963 0.204069603752963 0.206439276434912 0.212579704200203 0.2199147990741 0.184804162352147 0.207032465064099 0.197179929524433 0.214105903577061 0.222073772306068 0.211212582376702 0.17539211972933 0.201122394282069 0.205625757703703 0.225188154949819 0.185208794087149 0.200852451761912 0.199294232570498 0.198482779079964 0.203509033658398 0.156574391080465
"EF491163" 0.221158151208069 0.226899592578763 0.176544851120711 0.215097449624191 0.220072615050775 0.199017581139901 0.212965296744543 0.203185033817296 0.19776871018891 0.21501279902579 0.217457791672886 0.176544851120711 0.191941991366779 0.21501279902579 0 0.199632576174133 0.19242091269358 0.208382385003832 0.203185033817296 0.254479824299235 0.199632576174133 0.199017581139901 0.240018009313121 0.244804959344447 0.191688152129878 0.208029608487754 0.210738075246013 0.196647908457953 0.212965296744543 0.225465947847251 0.188312163535666 0.203185033817296 0.203829684303547 0.2126283088039 0.204980373669462 0.22406431115101 0.22406431115101 0.19776871018891 0.256356005712752 0.220072615050775 0.220072615050775 0.220072615050775 0.200769570182463 0.200769570182463 0.221532660172736 0.21501279902579 0.21501279902579 0.21501279902579 0.217457791672886 0.196647908457953 0.202564910034629 0.233589839902907 0.26241649887738 0.257111409321372 0.192735373792626 0.197479342567296 0.210738075246013 0.251494566251262 0.221158151208069 0.226899592578763 0.215097449624191 0.176544851120711 0.201728091125214 0.19242091269358 0.208382385003832 0.203185033817296 0.227991651641437
"EF672696" 0.217235889176637 0.217578844295255 0.174297987015251 0.220072615050775 0.220072615050775 0.206788699817842 0.223683409101103 0.210502237576515 0.184734284937352 0.206488601296547 0.234915924226 0.174297987015251 0.210445072122587 0.206488601296547 0.199632576174133 0 0.00841770723193134 0.211532326819402 0.184734284937352 0.259544788159184 0.224031787853427 0.206788699817842 0.225517476366785 0.245547201459211 0.203509033658398 0.215927405259794 0.196383022304797 0.204373236183009 0.213658010578323 0.208719698830367 0.177757427550419 0.184734284937352 0.177757427550419 0.223689314655213 0.187081707089456 0.185020092665292 0.185020092665292 0.184734284937352 0.24037919679388 0.220072615050775 0.220072615050775 0.220072615050775 0.208051252276411 0.208051252276411 0.182678168009078 0.196383022304797 0.194030076786091 0.194030076786091 0.19874709290277 0.204373236183009 0.184734284937352 0.233074295271809 0.248934310417741 0.256870984995886 0.152361840577379 0.183393904083948 0.196383022304797 0.253802652110982 0.217235889176637 0.217578844295255 0.220072615050775 0.174297987015251 0.228714482581964 0.00841770723193134 0.211532326819402 0.184734284937352 0.19874709290277
"FJ236015" 0.209846592128577 0.210171301402685 0.167321129628318 0.2126283088039 0.2126283088039 0.201969385398958 0.21614557789838 0.203185033817296 0.177757427550419 0.199294232570498 0.227359105320976 0.167321129628318 0.205625757703703 0.199294232570498 0.19242091269358 0.00841770723193134 0 0.2041611859508 0.177757427550419 0.251565895439879 0.216568962745089 0.201969385398958 0.220542310940201 0.24037919679388 0.19874709290277 0.211037390732974 0.191688152129878 0.19957703633729 0.206268713530263 0.201402495071148 0.170876585014079 0.177757427550419 0.170876585014079 0.216245008408338 0.180072246499791 0.178026971677922 0.178026971677922 0.177757427550419 0.232725986152542 0.2126283088039 0.2126283088039 0.2126283088039 0.200769570182463 0.200769570182463 0.175717498749774 0.191688152129878 0.189357145576972 0.189357145576972 0.194030076786091 0.19957703633729 0.177757427550419 0.225517476366785 0.241121651466201 0.248934310417741 0.145739227202369 0.17649724301778 0.191688152129878 0.245928473626913 0.209846592128577 0.210171301402685 0.2126283088039 0.167321129628318 0.221195543899694 0 0.2041611859508 0.177757427550419 0.191688152129878
"FJ429093" 0.212250045745494 0.0308125423711864 0.180347161456173 0.162723396081768 0.167321129628318 0.220072615050775 0.0563998397030355 0.183393904083948 0.184454374415015 0.198482779079964 0.241121651466201 0.180347161456173 0.213171170071599 0.198482779079964 0.208382385003832 0.211532326819402 0.2041611859508 0 0.123781251485104 0.227359105320976 0.216507492245986 0.220072615050775 0.205625757703703 0.194030076786091 0.215927405259794 0.211343008360028 0.203185033817296 0.222578885962547 0.00502726055711399 0.0545376401575443 0.0888594648014713 0.123781251485104 0.184482974941556 0.248786236573807 0.179803178083858 0.160440287091977 0.160440287091977 0.184454374415015 0.221770095158505 0.167321129628318 0.167321129628318 0.167321129628318 0.181084431155801 0.181084431155801 0.15816755590614 0.19246791183615 0.19246791183615 0.19246791183615 0.190120489684046 0.222578885962547 0.182123367862109 0.234574423408777 0.21501279902579 0.2199147990741 0.179461681772937 0.19065958568777 0.203185033817296 0.21961071313804 0.212250045745494 0.0308125423711864 0.162723396081768 0.180347161456173 0.226221485617034 0.2041611859508 0 0.123781251485104 0.222073772306068
"FJ719367" 0.197875099692068 0.11913072555798 0.175453276007322 0.149443036466198 0.153927371457578 0.215440549324471 0.12400446297704 0.176262789760773 0.170386392574389 0.203509033658398 0.191688152129878 0.175453276007322 0.218390464427822 0.203509033658398 0.203185033817296 0.184734284937352 0.177757427550419 0.123781251485104 0 0.250769181039753 0.199632576174133 0.215440549324471 0.203509033658398 0.191941991366779 0.213788001007124 0.231607690363728 0.220789969563694 0.212965296744543 0.123563147226854 0.117648445182859 0.110983867408776 0 0.191310577487849 0.225840517556946 0.165871689214692 0.142791053653016 0.142791053653016 0.170386392574389 0.260554292874132 0.153927371457578 0.153927371457578 0.153927371457578 0.173990058574935 0.173990058574935 0.140593247916497 0.192739970590024 0.192739970590024 0.192739970590024 0.190387025071318 0.212965296744543 0.168123945275244 0.232384273247726 0.24037919679388 0.245547201459211 0.175093027615758 0.178785576531486 0.220789969563694 0.240018009313121 0.197875099692068 0.11913072555798 0.149443036466198 0.175453276007322 0.20906318599911 0.177757427550419 0.123781251485104 0 0.227359105320976
"GQ901984.1" 0.209878045743989 0.224865334565456 0.218390464427822 0.244444005147734 0.244444005147734 0.254479824299235 0.225188154949819 0.258987590734889 0.236436629412024 0.21203250673139 0.251494566251262 0.218390464427822 0.243401913283419 0.21203250673139 0.254479824299235 0.259544788159184 0.251565895439879 0.227359105320976 0.250769181039753 0 0.216582904614468 0.254479824299235 0.243068170726781 0.256356005712752 0.24889715781271 0.236436629412024 0.245625721060166 0.257111409321372 0.222700587629762 0.225188154949819 0.224549024885996 0.250769181039753 0.232725986152542 0.21931308775729 0.228898798209301 0.244100311915341 0.244100311915341 0.236436629412024 0.103124602462744 0.244444005147734 0.244444005147734 0.244444005147734 0.256356005712752 0.256356005712752 0.241502903476789 0.245625721060166 0.245625721060166 0.245625721060166 0.243068170726781 0.257111409321372 0.231398803417654 0.0871787862027522 0.0994087351604643 0.0933357860094103 0.229431243557036 0.241184922649895 0.245625721060166 0.107424466880121 0.209878045743989 0.224865334565456 0.244444005147734 0.218390464427822 0.226108403564551 0.251565895439879 0.227359105320976 0.250769181039753 0.176323563643938
